date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,state_name
2014-09-01,Satara,greenchilli,427,2420,3236,2822,Satara,Maharashtra
2014-09-01,Jalna,maize,1313,1125,1249,1211,Jalna,Maharashtra
2014-09-01,Bhokardan-Pimpalgaon Renu,maize,61,1314,1337,1323,Jalna,Maharashtra
2014-09-01,Solapur,maize,3,1431,1431,1431,Solapur,Maharashtra
2014-09-01,Lonar,maize,21,1075,1150,1113,Buldhana,Maharashtra
2014-09-01,Chalisgaon,maize,2186,1189,1295,1256,Jalgaon,Maharashtra
2014-09-01,Bhusaval,maize,23,1050,1050,1050,Jalgaon,Maharashtra
2014-09-01,Bhokardan,maize,111,1315,1333,1324,Jalna,Maharashtra
2014-09-01,Jalgaon,maize,18,1250,1300,1300,Jalgaon,Maharashtra
2014-09-01,Amalner,maize,95,1193,1210,1201,Jalgaon,Maharashtra
2014-09-01,Chikhali,maize,145,1119,1198,1152,Buldhana,Maharashtra
2014-09-01,Jalgaon Jamod-Aasalgaon,maize,5,1067,1100,1083,Buldhana,Maharashtra
2014-09-01,Khamgaon,maize,7,1270,1295,1282,Buldhana,Maharashtra
2014-09-01,Malkapur,maize,181,1009,1137,1093,Buldhana,Maharashtra
2014-09-01,Raver,maize,98,1177,1228,1214,Jalgaon,Maharashtra
2014-09-01,Chopda,maize,109,1069,1148,1104,Jalgaon,Maharashtra
2014-09-01,Kolhapur-Laxmipuri,maize,126,1350,1493,1400,Kolhapur,Maharashtra
2014-09-01,Rahuri,maize,4,1255,1255,1255,Ahmadnagar,Maharashtra
2014-09-01,Rahata,maize,8,1475,1475,1475,Ahmadnagar,Maharashtra
2014-09-01,Pune,maize,845,1540,1677,1610,Pune,Maharashtra
2014-09-01,Sangali,maize,5033,1350,1442,1396,Sangli,Maharashtra
2014-09-01,Tasgaon,maize,40,1350,1400,1350,Sangli,Maharashtra
2014-09-01,Baramati,maize,122,1400,1485,1451,Pune,Maharashtra
2014-09-01,Kopargaon,maize,59,990,1165,1061,Ahmadnagar,Maharashtra
2014-09-01,Shirur,maize,11,1210,1210,1210,Pune,Maharashtra
2014-09-01,Kalamb (Os),maize,26,1225,1295,1279,Osmanabad,Maharashtra
2014-09-01,Yeola,maize,39,1188,1214,1208,Nasik,Maharashtra
2014-09-01,Tuljapur,maize,17,1271,1275,1273,Osmanabad,Maharashtra
2014-09-01,Umarga,maize,7,1366,1375,1366,Osmanabad,Maharashtra
2014-09-01,Nandgaon,maize,344,1212,1330,1316,Nasik,Maharashtra
2014-09-01,Manmad,maize,340,1249,1340,1287,Nasik,Maharashtra
2014-09-01,Satana,maize,575,1199,1255,1239,Nasik,Maharashtra
2014-09-01,Sinner,maize,185,1242,1322,1291,Nasik,Maharashtra
2014-09-01,Shrirampur,maize,19,1546,1557,1547,Ahmadnagar,Maharashtra
2014-09-01,Beed,maize,3,1500,1500,1500,Beed,Maharashtra
2014-09-01,Gevrai,maize,9,1168,1226,1177,Beed,Maharashtra
2014-09-01,Mohol,maize,177,1389,1462,1433,Solapur,Maharashtra
2014-09-01,Kada (Ashti),maize,1,1380,1380,1380,Beed,Maharashtra
2014-09-01,Rahata,smallgourd,2,1800,1800,1800,Ahmadnagar,Maharashtra
2014-09-01,Chandrapur-Ganjwad,smallgourd,34,778,1111,944,Chandrapur,Maharashtra
2014-09-01,Rahuri-Vambori,pigeonpea(tur),4,3647,3647,3647,Ahmadnagar,Maharashtra
2014-09-01,Karad,snakegourd,75,1175,1625,1396,Satara,Maharashtra
2014-09-01,Ratanagari,snakegourd,12,1000,1500,1300,Ratnagiri,Maharashtra
2014-09-01,Pune,snakegourd,395,806,1524,1165,Pune,Maharashtra
2014-09-01,Panvel,snakegourd,210,2420,2620,2510,Raigad,Maharashtra
2014-09-01,Vadgaon Peth,snakegourd,40,1000,2000,1500,Kolhapur,Maharashtra
2014-09-01,Kurdwadi,sorgum(jawar),454,1353,2610,1981,Solapur,Maharashtra
2014-09-01,Phaltan,sorgum(jawar),1698,1565,2432,1900,Satara,Maharashtra
2014-09-01,Koregaon,sorgum(jawar),31,1600,1838,1719,Satara,Maharashtra
2014-09-01,Lonand,sorgum(jawar),269,1550,1738,1638,Satara,Maharashtra
2014-09-01,Hadgaon,sorgum(jawar),47,1667,1767,1600,Nanded,Maharashtra
2014-09-01,Umared,sorgum(jawar),4,1775,1775,1775,Nagpur,Maharashtra
2014-09-01,Bhokar,sorgum(jawar),719,1268,1572,1460,Nanded,Maharashtra
2014-09-01,Pune,smallgourd,2194,1017,2726,1872,Pune,Maharashtra
2014-09-01,Ausa,maize,115,1131,1391,1304,Latur,Maharashtra
2014-09-01,Nagpur,smallgourd,1540,1092,1304,1198,Nagpur,Maharashtra
2014-09-01,Pune,shewanti,18,13333,18667,16000,Pune,Maharashtra
2014-09-01,Kada,maize,6,1394,1407,1407,Beed,Maharashtra
2014-09-01,Mangalwedha,maize,348,1385,1457,1427,Solapur,Maharashtra
2014-09-01,Kej,maize,11,1362,1403,1362,Beed,Maharashtra
2014-09-01,Akluj,maize,85,1360,1445,1415,Solapur,Maharashtra
2014-09-01,Sakri,maize,1,1151,1151,1151,Dhule,Maharashtra
2014-09-01,Dondaicha,maize,227,1058,1098,1098,Dhule,Maharashtra
2014-09-01,Barshi,maize,112,1300,1370,1322,Solapur,Maharashtra
2014-09-01,Shirpur,maize,93,1048,1304,1270,Dhule,Maharashtra
2014-09-01,Barshi-Vairag,maize,184,1384,1414,1408,Solapur,Maharashtra
2014-09-01,Dudhani,maize,52,1226,1278,1263,Solapur,Maharashtra
2014-09-01,Kurdwadi,maize,54,1315,1337,1326,Solapur,Maharashtra
2014-09-01,Dhule,maize,865,1079,1274,1236,Dhule,Maharashtra
2014-09-01,Pandharpur,maize,19,1386,1386,1386,Solapur,Maharashtra
2014-09-01,Nandura,maize,296,1202,1370,1301,Buldhana,Maharashtra
2014-09-01,Kille Dharur,maize,14,1334,1334,1334,Beed,Maharashtra
2014-09-01,Kamthi,smallgourd,19,867,2013,1440,Nagpur,Maharashtra
2014-09-01,Vaijapur,maize,8,1156,1243,1206,Aurangabad,Maharashtra
2014-09-01,Lasur Station,maize,515,1084,1310,1197,Aurangabad,Maharashtra
2014-09-01,Gangapur,maize,29,1248,1319,1274,Aurangabad,Maharashtra
2014-09-01,Udgir,soybean,2822,3405,3484,3444,Latur,Maharashtra
2014-09-01,Pune-Pimpri,shepu,1000,3,5,4,Pune,Maharashtra
2014-09-01,Pune-Manjri,shepu,291,1125,2006,1584,Pune,Maharashtra
2014-09-01,Nashik,shepu,2248,395,1273,814,Nasik,Maharashtra
2014-09-01,Vadgaon Peth,shepu,5,3000,4000,3500,Kolhapur,Maharashtra
2014-09-01,Barshi,shepu,1100,200,350,250,Solapur,Maharashtra
2014-09-01,Nilanga,soybean,91,3189,3508,3431,Latur,Maharashtra
2014-09-01,Ausa,soybean,230,3167,3342,3299,Latur,Maharashtra
2014-09-01,Hinganghat,soybean,13519,2878,3484,3181,Wardha,Maharashtra
2014-09-01,Latur,soybean,11256,3127,3658,3520,Latur,Maharashtra
2014-09-01,Lasur Station,soybean,7,2972,3012,3012,Aurangabad,Maharashtra
2014-09-01,Gangapur,soybean,1,2950,3320,3000,Aurangabad,Maharashtra
2014-09-01,Morshi,soybean,2389,3001,3222,3112,Amaravathi,Maharashtra
2014-09-01,Varud-Rajura Bazar,soybean,21,3113,3337,3240,Amaravathi,Maharashtra
2014-09-01,Pune-Manjri,curryleaves,51,0,4406,0,Pune,Maharashtra
2014-09-01,Mandhal,soybean,222,2893,3106,2980,Nagpur,Maharashtra
2014-09-01,Pune,curryleaves,481,991,2096,1543,Pune,Maharashtra
2014-09-01,Nagpur,soybean,1368,2881,3351,3105,Nagpur,Maharashtra
2014-09-01,Tasgaon,soybean,640,2970,3180,3066,Sangli,Maharashtra
2014-09-01,Umarga,soybean,52,3026,3317,3235,Osmanabad,Maharashtra
2014-09-01,Sinner,soybean,60,3089,3405,3349,Nasik,Maharashtra
2014-09-01,Kalamb (Os),soybean,246,3041,3320,3265,Osmanabad,Maharashtra
2014-09-01,Chandrapur,pineapple,640,20,50,35,Chandrapur,Maharashtra
2014-09-01,Nagpur,pineapple,3467,1019,2865,1942,Nagpur,Maharashtra
2014-09-01,Mumbai,pineapple,12448,1373,2609,2000,Mumbai,Maharashtra
2014-09-01,Ner Parasopant,soybean,754,3255,3449,3351,Yewatmal,Maharashtra
2014-09-01,Umarkhed-Danki,soybean,100,3000,3500,3300,Yewatmal,Maharashtra
2014-09-01,Vani,soybean,28,3044,3120,3070,Yewatmal,Maharashtra
2014-09-01,Umarkhed,soybean,100,3000,3500,3300,Yewatmal,Maharashtra
2014-09-01,Jamkhed,soybean,155,2880,3280,3080,Ahmadnagar,Maharashtra
2014-09-01,Kopargaon,soybean,216,2954,3247,3138,Ahmadnagar,Maharashtra
2014-09-01,Akole,soybean,35,3000,3200,3100,Ahmadnagar,Maharashtra
2014-09-01,Baramati,soybean,10,2000,3150,3150,Pune,Maharashtra
2014-09-01,Sangali,soybean,13926,2750,3554,3162,Sangli,Maharashtra
2014-09-01,Aarni,soybean,165,3000,3450,3270,Yewatmal,Maharashtra
2014-09-01,Naigaon,sorgum(jawar),2,1000,1050,1000,Nanded,Maharashtra
2014-09-01,Mumbai,curryleaves,6640,1196,1683,1440,Mumbai,Maharashtra
2014-09-01,Daryapur,soybean,96,2500,3100,3062,Amaravathi,Maharashtra
2014-09-01,Shrirampur,shevga,12,2500,3333,2917,Ahmadnagar,Maharashtra
2014-09-01,Akluj,shevga,61,2308,3323,2866,Solapur,Maharashtra
2014-09-01,Tumsar,lentil,6,3260,3476,3368,Bhandara,Maharashtra
2014-09-01,Umared,linseed,4,4708,4708,4708,Nagpur,Maharashtra
2014-09-01,Tumsar,linseed,82,3693,3907,3799,Bhandara,Maharashtra
2014-09-01,Phaltan,maize,391,1273,1392,1330,Satara,Maharashtra
2014-09-01,Lonand,maize,73,1400,1463,1431,Satara,Maharashtra
2014-09-01,Vaduj,maize,88,1350,1400,1375,Satara,Maharashtra
2014-09-01,Achalpur,maize,2,1338,1338,1338,Amaravathi,Maharashtra
2014-09-01,Devala,maize,11,1290,1290,1290,Nasik,Maharashtra
2014-09-01,Lasalgaon,maize,623,1247,1361,1336,Nasik,Maharashtra
2014-09-01,Malegaon,maize,670,1124,1274,1219,Nasik,Maharashtra
2014-09-01,Nandurbar,maize,67,1210,1290,1285,Nandurbar,Maharashtra
2014-09-01,Shahada,maize,7,1281,1294,1281,Nandurbar,Maharashtra
2014-09-01,Kannad,maize,97,1050,1100,1075,Aurangabad,Maharashtra
2014-09-01,Rahata,shevga,2,4000,4000,4000,Ahmadnagar,Maharashtra
2014-09-01,Anajngaon Surji,soybean,540,3022,3211,3111,Amaravathi,Maharashtra
2014-09-01,Pune-Pimpri,shevga,5,4000,4000,4000,Pune,Maharashtra
2014-09-01,Karad,shevga,63,2625,3300,2958,Satara,Maharashtra
2014-09-01,Dhamangaon-Rly,soybean,1422,3072,3512,3250,Amaravathi,Maharashtra
2014-09-01,Nandurbar,soybean,6,3250,3375,3313,Nandurbar,Maharashtra
2014-09-01,Amarawati,soybean,16,3025,3243,3103,Amaravathi,Maharashtra
2014-09-01,Lasalgaon,soybean,925,1954,3507,3431,Nasik,Maharashtra
2014-09-01,Achalpur,soybean,270,2700,3279,2990,Amaravathi,Maharashtra
2014-09-01,Hadgaon,soybean,48,3675,3750,3600,Nanded,Maharashtra
2014-09-01,Umared,soybean,1028,2988,3169,3063,Nagpur,Maharashtra
2014-09-01,Mumbai,cummin,6653,13491,17273,15368,Mumbai,Maharashtra
2014-09-01,Savner,soybean,137,2687,2966,2826,Nagpur,Maharashtra
2014-09-01,Bhokar,soybean,44,3455,3586,3519,Nanded,Maharashtra
2014-09-01,Mumbai,lentil,1443,5027,5627,5227,Mumbai,Maharashtra
2014-09-01,Pune,lentil,1233,6091,6575,6333,Pune,Maharashtra
2014-09-01,Sangali,lentil,573,3980,5390,4585,Sangli,Maharashtra
2014-09-01,Kolhapur-Laxmipuri,lentil,275,6200,6587,6387,Kolhapur,Maharashtra
2014-09-01,Satara,shevga,47,3250,4344,3797,Satara,Maharashtra
2014-09-01,Aurangabad,shevga,72,3267,4067,3667,Aurangabad,Maharashtra
2014-09-01,Nanded,sorgum(jawar),26,1230,1250,1230,Nanded,Maharashtra
2014-09-01,Vaduj,sorgum(jawar),2080,2163,2275,2219,Satara,Maharashtra
2014-09-01,Amarawati,sorgum(jawar),16,1475,1788,1613,Amaravathi,Maharashtra
2014-09-01,Ghoti,cucumber,78,910,1140,1025,Nasik,Maharashtra
2014-09-01,Karad,cucumber,183,600,864,732,Satara,Maharashtra
